coordinate	declared_license	scm
ac.grim.grimac:GrimAPI:1.6.0.12	[]	
ac.grim.grimac:grim-bukkit-internal:1.6.0.12	[]	
ac.grim.grimac:grim-internal:1.6.0.12	[]	
com.github.alexheretic:dynamics:4.0	[('The Apache License, Version 2.0', 'http://www.apache.org/licenses/LICENSE-2.0.txt')]	git@github.com/alexheretic/dynamics.git
com.github.alexheretic:fluent:2.0	[('The Apache License, Version 2.0', 'http://www.apache.org/licenses/LICENSE-2.0.txt')]	git@github.com/alexheretic/fluent.git
com.github.retrooper:packetevents-api:2.14.0-SNAPSHOT	[('GPL-3.0', 'https://www.gnu.org/licenses/gpl-3.0.html')]	https://github.com/retrooper/packetevents/tree/2.0
com.github.retrooper:packetevents-netty-common:2.14.0-SNAPSHOT	[('GPL-3.0', 'https://www.gnu.org/licenses/gpl-3.0.html')]	https://github.com/retrooper/packetevents/tree/2.0
com.github.retrooper:packetevents-spigot:2.14.0-SNAPSHOT	[('GPL-3.0', 'https://www.gnu.org/licenses/gpl-3.0.html')]	https://github.com/retrooper/packetevents/tree/2.0
com.googlecode.json-simple:json-simple:1.1.1	[]	
com.lmax:disruptor:3.4.4	[('The Apache Software License, Version 2.0', 'http://www.apache.org/licenses/LICENSE-2.0.txt')]	scm:git@github.com:LMAX-Exchange/disruptor.git
com.zaxxer:HikariCP:7.0.2	[('The Apache Software License, Version 2.0', 'https://www.apache.org/licenses/LICENSE-2.0.txt')]	https://github.com/brettwooldridge/HikariCP
github.scarsz:configuralize:1.4.1	[]	
io.leangen.geantyref:geantyref:1.3.16	[('The Apache Software License, Version 2.0', 'http://www.apache.org/licenses/LICENSE-2.0.txt')]	https://github.com/leangen/geantyref
it.unimi.dsi:fastutil:8.5.15	[]	
net.kyori:adventure-api:4.26.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/PaperMC/adventure
net.kyori:adventure-key:4.26.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/PaperMC/adventure
net.kyori:adventure-nbt:4.26.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/PaperMC/adventure
net.kyori:adventure-platform-api:4.4.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/KyoriPowered/adventure-platform
net.kyori:adventure-platform-bukkit:4.4.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/KyoriPowered/adventure-platform
net.kyori:adventure-platform-facet:4.4.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/KyoriPowered/adventure-platform
net.kyori:adventure-platform-viaversion:4.4.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/KyoriPowered/adventure-platform
net.kyori:adventure-text-minimessage:4.26.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/PaperMC/adventure
net.kyori:adventure-text-serializer-bungeecord:4.4.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/KyoriPowered/adventure-platform
net.kyori:adventure-text-serializer-commons:4.26.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/PaperMC/adventure
net.kyori:adventure-text-serializer-gson-legacy-impl:4.21.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/KyoriPowered/adventure
net.kyori:adventure-text-serializer-gson:4.26.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/PaperMC/adventure
net.kyori:adventure-text-serializer-json-legacy-impl:4.26.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/PaperMC/adventure
net.kyori:adventure-text-serializer-json:4.26.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/PaperMC/adventure
net.kyori:adventure-text-serializer-legacy:4.26.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/PaperMC/adventure
net.kyori:examination-api:1.3.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/KyoriPowered/examination
net.kyori:examination-string:1.3.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/KyoriPowered/examination
net.kyori:option:1.1.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/KyoriPowered/option
org.incendo:cloud-annotations:2.1.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/Incendo/cloud
org.incendo:cloud-brigadier:2.0.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/Incendo/cloud-minecraft
org.incendo:cloud-bukkit:2.0.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/Incendo/cloud-minecraft
org.incendo:cloud-core:2.1.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/Incendo/cloud
org.incendo:cloud-paper:2.0.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/Incendo/cloud-minecraft
org.incendo:cloud-processors-requirements:1.0.0-rc.1	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/Incendo/cloud-processors
org.incendo:cloud-services:2.1.0	[('The MIT License', 'https://opensource.org/licenses/MIT')]	https://github.com/Incendo/cloud
org.jetbrains:annotations:24.1.0	[('The Apache Software License, Version 2.0', 'https://www.apache.org/licenses/LICENSE-2.0.txt')]	https://github.com/JetBrains/java-annotations
org.slf4j:slf4j-api:2.0.17	[]	
org.slf4j:slf4j-jdk14:2.0.17	[]	
org.yaml:snakeyaml:2.2	[('Apache License, Version 2.0', 'http://www.apache.org/licenses/LICENSE-2.0.txt')]	https://bitbucket.org/snakeyaml/snakeyaml/src
